iter	RMSE
0	128.5430101
1	124.4003802
2	120.2317891
3	116.1235706
4	112.3473152
5	108.4821655
6	104.8420794
7	101.3877356
8	97.9910674
9	94.73651199
10	91.72766779
11	88.9139236
12	86.11570558
13	83.24901195
14	80.57326581
15	78.03382632
16	75.47016315
17	72.95201219
18	70.60595082
19	68.42462797
20	66.3936807
21	64.24134377
22	62.18963568
23	60.2223487
24	58.49414059
25	56.76716382
26	54.98553025
27	53.20927304
28	51.58491316
29	50.00021751
30	48.47567916
31	47.11114698
32	45.71124122
33	44.29425852
34	43.03649868
35	41.87320972
36	40.76532541
37	39.64692158
38	38.60654587
39	37.47542407
40	36.41561341
41	35.29586143
42	34.3097715
43	33.31196227
44	32.34512156
45	31.45635131
46	30.64649615
47	29.86709488
48	29.06706236
49	28.26574855
50	27.45945759
51	26.76708508
52	26.15326038
53	25.53511168
54	24.86936531
55	24.23263525
56	23.60554115
57	22.98861102
58	22.43952973
59	21.8880868
60	21.37931068
61	20.84656823
62	20.34811848
63	19.89864783
64	19.46125636
65	19.02115098
66	18.59229614
67	18.1699917
68	17.75783992
69	17.34950676
70	16.94380625
71	16.59138093
72	16.25265846
73	15.92448951
74	15.58085588
75	15.28585738
76	14.96186781
77	14.72991107
78	14.43999039
79	14.20517289
80	13.97990627
81	13.75006873
82	13.4847556
83	13.21732979
84	12.97063842
85	12.77892981
86	12.58409545
87	12.40351302
88	12.19424068
89	12.03560441
90	11.86070386
91	11.70552859
92	11.52683061
93	11.34090581
94	11.19448389
95	11.04964034
96	10.90150462
97	10.77995927
98	10.6385339
99	10.51362859
100	10.37145962
101	10.2601575
102	10.12709379
103	9.999082196
104	9.881776795
105	9.764112536
106	9.670306111
107	9.566680571
108	9.469306356
109	9.362256037
110	9.268392258
111	9.195530073
112	9.119244731
113	9.040152446
114	8.971188829
115	8.905704235
116	8.828439694
117	8.752349877
118	8.691641141
119	8.622781315
120	8.566987794
121	8.501560002
122	8.44105398
123	8.388030554
124	8.339261132
125	8.276813832
126	8.22576817
127	8.177503054
128	8.127903719
129	8.08454242
130	8.039775915
131	7.991886544
132	7.955447227
133	7.903625629
134	7.861194042
