iter	Passed	Remaining
0	2	1628
1	5	1514
2	7	1451
3	9	1415
4	11	1389
5	13	1376
6	16	1356
7	18	1348
8	20	1334
9	22	1329
10	24	1307
11	26	1292
12	28	1276
13	30	1261
14	32	1250
15	33	1240
16	35	1229
17	37	1221
18	39	1216
19	41	1208
20	43	1203
21	45	1203
22	48	1215
23	50	1220
24	53	1222
25	56	1238
26	58	1250
27	61	1254
28	63	1255
29	65	1253
30	68	1251
31	70	1245
32	71	1236
33	73	1231
34	75	1223
35	77	1216
36	79	1210
37	81	1203
38	83	1200
39	85	1198
40	87	1195
41	89	1190
42	92	1196
43	94	1193
44	96	1188
45	98	1185
46	100	1181
47	102	1179
48	104	1173
49	106	1168
50	108	1163
51	110	1160
52	112	1156
53	113	1152
54	115	1149
55	117	1145
56	119	1142
57	121	1139
58	124	1137
59	126	1135
60	128	1132
61	130	1129
62	132	1126
63	134	1125
64	136	1122
65	138	1120
66	140	1117
67	142	1114
68	144	1111
69	146	1108
70	148	1106
71	150	1103
72	152	1101
73	154	1098
74	156	1095
75	158	1092
76	160	1089
77	162	1086
78	164	1084
79	166	1081
80	168	1079
81	170	1077
82	172	1075
83	174	1073
84	176	1072
85	179	1070
86	181	1067
87	183	1065
88	185	1063
89	187	1062
90	189	1061
91	191	1059
92	193	1057
93	196	1055
94	198	1053
95	200	1052
96	202	1051
97	204	1049
98	207	1047
99	209	1045
100	211	1043
101	213	1041
102	215	1040
103	217	1039
104	220	1038
105	223	1040
106	225	1039
107	227	1036
108	229	1033
109	231	1030
110	233	1028
111	235	1027
112	238	1026
113	240	1023
114	242	1020
115	244	1018
116	246	1015
117	248	1013
118	250	1012
119	252	1010
120	254	1008
121	256	1006
122	258	1003
123	260	1001
124	263	1000
125	265	998
126	267	995
127	269	994
128	271	992
129	274	991
130	276	989
131	278	986
132	280	984
133	282	982
134	284	980
135	286	978
136	288	976
137	291	974
138	293	973
139	295	971
140	297	969
141	300	968
142	302	966
143	304	964
144	306	961
145	308	959
146	310	957
147	313	956
148	315	954
149	317	952
150	319	950
151	321	947
152	323	945
153	325	943
154	328	941
155	330	940
156	332	938
157	334	936
158	337	935
159	340	936
160	342	934
161	344	932
162	347	930
163	349	929
164	351	927
165	354	926
166	356	924
167	358	922
168	360	920
169	363	918
170	365	916
171	367	915
172	370	913
173	372	911
174	374	910
175	376	908
176	379	906
177	381	904
178	383	902
179	385	900
180	387	898
181	390	896
182	392	894
183	394	892
184	396	890
185	399	888
186	401	886
187	403	883
188	405	881
189	407	879
190	409	877
191	412	876
192	414	874
193	418	876
194	421	874
195	423	872
196	425	870
197	427	868
198	429	866
199	432	864
200	434	862
201	437	861
202	439	858
203	441	856
204	443	854
205	445	852
206	447	849
207	449	847
208	452	846
209	454	843
210	456	841
211	458	839
212	460	836
213	462	834
214	464	832
215	467	830
216	469	828
217	471	826
218	473	824
219	475	821
220	478	819
221	480	817
222	482	815
223	484	813
224	486	811
225	489	809
226	491	807
227	493	805
228	495	802
229	497	800
230	499	798
231	502	796
232	504	794
233	506	792
234	508	790
235	511	788
236	513	786
237	515	783
238	517	781
239	519	779
240	521	776
241	523	774
242	525	772
243	527	769
244	529	767
245	531	765
246	534	763
247	536	761
248	538	759
249	540	757
250	543	755
251	545	753
252	547	750
253	549	748
254	551	746
255	554	744
256	556	742
257	558	740
258	560	738
259	563	736
260	565	734
261	567	732
262	569	730
263	572	728
264	574	726
265	576	724
266	579	722
267	581	720
268	583	718
269	586	716
270	588	714
271	590	711
272	592	709
273	594	707
274	596	705
275	599	703
276	601	701
277	603	699
278	606	697
279	608	695
280	610	693
281	612	691
282	615	689
283	617	687
284	619	684
285	621	682
286	623	680
287	626	678
288	628	676
289	630	674
290	632	672
291	635	670
292	637	668
293	639	665
294	641	663
295	644	661
296	646	659
297	648	657
298	650	655
299	653	653
300	655	651
301	657	648
302	659	646
303	662	644
304	664	642
305	666	640
306	668	638
307	671	636
308	673	634
309	675	632
310	678	630
311	680	628
312	682	626
313	684	623
314	687	621
315	689	620
316	692	618
317	694	615
318	696	613
319	699	611
320	701	609
321	703	607
322	706	605
323	708	603
324	710	601
325	713	599
326	715	597
327	717	595
328	719	592
329	722	590
330	724	588
331	726	586
332	728	584
333	731	582
334	733	580
335	735	578
336	738	576
337	740	573
338	742	571
339	744	569
340	746	566
341	748	564
342	751	562
343	753	560
344	755	558
345	757	556
346	759	554
347	762	551
348	764	549
349	766	547
350	768	545
351	770	543
352	773	541
353	775	538
354	777	536
355	779	534
356	782	532
357	784	530
358	786	528
359	788	525
360	791	523
361	793	521
362	795	519
363	797	517
364	800	515
365	802	512
366	804	510
367	806	508
368	808	506
369	811	504
370	813	502
371	815	499
372	818	497
373	820	495
374	822	493
375	824	491
376	827	489
377	829	487
378	832	485
379	834	483
380	836	480
381	838	478
382	841	476
383	843	474
384	845	472
385	847	470
386	850	467
387	852	465
388	854	463
389	856	461
390	859	459
391	861	456
392	863	454
393	865	452
394	868	450
395	870	448
396	872	446
397	875	444
398	877	442
399	879	439
400	882	437
401	884	435
402	886	433
403	888	431
404	891	429
405	893	426
406	895	424
407	898	422
408	900	420
409	902	418
410	904	416
411	906	413
412	909	411
413	911	409
414	913	407
415	916	405
416	918	403
417	920	400
418	922	398
419	924	396
420	927	394
421	929	392
422	931	389
423	934	387
424	936	385
425	939	383
426	941	381
427	943	379
428	945	376
429	948	374
430	950	372
431	952	370
432	954	368
433	956	366
434	959	363
435	961	361
436	963	359
437	965	357
438	967	354
439	970	352
440	972	350
441	974	348
442	976	346
443	979	343
444	981	341
445	983	339
446	985	337
447	987	335
448	989	332
449	992	330
450	994	328
451	996	326
452	998	323
453	1000	321
454	1002	319
455	1004	317
456	1006	315
457	1009	312
458	1011	310
459	1013	308
460	1015	306
461	1017	303
462	1019	301
463	1021	299
464	1023	297
465	1025	294
466	1028	292
467	1030	290
468	1032	288
469	1034	286
470	1036	283
471	1038	281
472	1041	279
473	1043	277
474	1045	275
475	1047	272
476	1049	270
477	1052	268
478	1054	266
479	1056	264
480	1059	262
481	1061	259
482	1065	258
483	1067	255
484	1069	253
485	1072	251
486	1074	249
487	1076	247
488	1078	244
489	1081	242
490	1083	240
491	1085	238
492	1087	236
493	1090	233
494	1092	231
495	1095	229
496	1097	227
497	1099	225
498	1102	223
499	1104	220
500	1106	218
501	1108	216
502	1110	214
503	1113	212
504	1115	209
505	1117	207
506	1119	205
507	1121	203
508	1124	200
509	1126	198
510	1128	196
511	1130	194
512	1132	192
513	1134	189
514	1136	187
515	1139	185
516	1141	183
517	1143	180
518	1145	178
519	1147	176
520	1149	174
521	1151	172
522	1154	169
523	1156	167
524	1160	165
525	1162	163
526	1164	161
527	1167	159
528	1169	156
529	1171	154
530	1173	152
531	1175	150
532	1178	148
533	1180	145
534	1182	143
535	1184	141
536	1187	139
537	1190	137
538	1192	134
539	1194	132
540	1198	130
541	1200	128
542	1202	126
543	1205	124
544	1207	121
545	1209	119
546	1211	117
547	1214	115
548	1216	112
549	1218	110
550	1220	108
551	1223	106
552	1225	104
553	1227	101
554	1229	99
555	1231	97
556	1233	95
557	1236	93
558	1239	90
559	1241	88
560	1243	86
561	1245	84
562	1247	82
563	1250	79
564	1252	77
565	1254	75
566	1256	73
567	1259	70
568	1262	68
569	1264	66
570	1266	64
571	1268	62
572	1271	59
573	1273	57
574	1275	55
575	1278	53
576	1280	51
577	1282	48
578	1285	46
579	1287	44
580	1289	42
581	1291	39
582	1293	37
583	1295	35
584	1298	33
585	1300	31
586	1302	28
587	1305	26
588	1307	24
589	1309	22
590	1312	19
591	1314	17
592	1316	15
593	1318	13
594	1321	11
595	1323	8
596	1326	6
597	1328	4
598	1330	2
599	1332	0
